REST_ID,URL,COORD1,COORD2
138,https://www.zomato.com/bhubaneswar/three-kings-patia-bhubaneshwar/info,20.3496707849,85.8072345704
139,https://www.zomato.com/bhubaneswar/the-hungrill-1-sahid-nagar-bhubaneshwar/info,20.2772484676,85.7942670956
140,https://www.zomato.com/bhubaneswar/foodzo-khandagiri-bhubaneshwar/info,20.2501363770,85.8061921969
141,https://www.zomato.com/bhopal/manohar-dairy-and-restaurant-peer-gate-area/info,23.2642068487,77.4084666744
142,https://www.zomato.com/bhopal/vishnu-chinese-fast-food-maharana-pratap-nagar/info,23.2235071000,77.4334474000
143,https://www.zomato.com/bhopal/khan-sahab-peer-gate-area/info,23.2672007299,77.3982601985
144,https://www.zomato.com/bhopal/al-beik-2-maharana-pratap-nagar/info,23.2347652837,77.4348297715
145,https://www.zomato.com/bhopal/anni-bhai-ki-biryani-jp-nagar/info,23.2722520000,77.4019070000
146,https://www.zomato.com/bhopal/bapu-ki-kutia-tt-nagar/info,23.2385639045,77.4025353044
147,https://www.zomato.com/bhopal/rajhans-thali-maharana-pratap-nagar/info,23.2271680000,77.4363040000
148,https://www.zomato.com/bhopal/khan-chacha-bhel/info,23.2506040000,77.4655350000
149,https://www.zomato.com/bhopal/the-public-house-café-n-restaurant-maharana-pratap-nagar/info,23.2309838078,77.4308362976
150,https://www.zomato.com/bhopal/da-pizzeria-maharana-pratap-nagar/info,23.2285413123,77.4353824293
151,https://www.zomato.com/bhopal/bake-n-shake-arera-colony/info,23.2146458865,77.4356478453
152,https://www.zomato.com/bhopal/lazeez-hakeem-maharana-pratap-nagar/info,23.2316283361,77.4328526482
153,https://www.zomato.com/bhopal/shri-gurukripa-restaurant-bhel/info,23.2510514551,77.4637141451
154,https://www.zomato.com/bhubaneswar/biryani-bhubaneswar-kharabela-nagar-bhubaneshwar/info,20.2798534321,85.8437005430
155,https://www.zomato.com/bhubaneswar/chilis-grill-bar-sahid-nagar-bhubaneshwar/info,20.2920779084,85.8565134555
156,https://www.zomato.com/bhubaneswar/narulas-restaurant-ashok-nagar-bhubaneshwar/info,20.2648353664,85.8391119540
157,https://www.zomato.com/bhubaneswar/biggies-burger-n-more-patia-bhubaneshwar/info,20.3533363863,85.8241100237
158,https://www.zomato.com/bhubaneswar/kfc-kharabela-nagar-bhubaneshwar/info,20.2768229513,85.8432988822
159,https://www.zomato.com/bhubaneswar/dominos-pizza-patia-bhubaneshwar/info,20.3538119870,85.8191529661
160,https://www.zomato.com/bhubaneswar/biryani247-satya-nagar-bhubaneshwar/info,20.2793826358,85.8526715264
161,https://www.zomato.com/bhubaneswar/sher-e-punjab-khandagiri-bhubaneshwar/info,20.2497479037,85.7981727272
162,https://www.zomato.com/bhubaneswar/9th-bistro-sahid-nagar-bhubaneshwar/info,20.2863831055,85.8474147320
163,https://www.zomato.com/bhubaneswar/brothers-kitchen-fast-food-chandrasekharpur-bhubaneshwar/info,20.3367620583,85.8127193525
164,https://www.zomato.com/bhubaneswar/bawarchi-ten11-restaurant-kharabela-nagar-bhubaneshwar/info,20.2799949537,85.8437350765
